"ident","ins_buzz_max"
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s192_ch3",-0.04
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s193_ch3",-0.79
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s194_ch3",-1.02
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s195_ch3",-0.21
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s196_ch3",-0.65
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s197_ch3",-1.73
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s198_ch3",-1.88
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s199_ch3",-0.15
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s19_ch3",-0.26
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s1_ch3",-1.7
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s200_ch3",0.6
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s201_ch3",-0.96
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s202_ch3",-0.54
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s203_ch3",0.3
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s204_ch3",0.59
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s20_ch3",-0.67
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s21_ch3",-0.28
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s22_ch3",-0.37
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s23_ch3",-0.48
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s24_ch3",-0.31
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s25_ch3",-0.38
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s26_ch3",-0.05
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s27_ch3",-0.55
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s28_ch3",-0.41
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s29_ch3",-0.78
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s2_ch3",-1.27
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s30_ch3",-0.07
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s31_ch3",-0.6
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s32_ch3",-0.04
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s33_ch3",-0.69
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s34_ch3",-1.31
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s35_ch3",-0.7
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s36_ch3",-0.23
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s37_ch3",-0.43
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s38_ch3",0.54
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s39_ch3",0.77
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s3_ch3",-1.65
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s40_ch3",0.17
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s41_ch3",-1.45
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s42_ch3",-1.97
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s43_ch3",-2.03
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s44_ch3",-1.64
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s45_ch3",-1.36
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s46_ch3",-0.18
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s47_ch3",-1.07
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s48_ch3",-0.87
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s49_ch3",-0.83
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s4_ch3",-0.4
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s50_ch3",-1.55
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s51_ch3",-1.31
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s52_ch3",-0.91
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s53_ch3",-1.03
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s54_ch3",-1.67
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s55_ch3",-0.62
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s56_ch3",-0.81
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s57_ch3",-0.57
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s58_ch3",-0.45
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s59_ch3",0.24
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s5_ch3",-1.03
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s60_ch3",-1.17
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s61_ch3",-0.44
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s62_ch3",-1.01
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s63_ch3",-1
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s64_ch3",0.03
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s65_ch3",-0.47
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s66_ch3",-1.03
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s67_ch3",-1.25
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s68_ch3",-0.47
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s69_ch3",-0.86
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s6_ch3",-0.19
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s70_ch3",-0.39
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s71_ch3",-0.38
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s72_ch3",-1.19
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s73_ch3",-0.24
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s74_ch3",-0.29
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s75_ch3",-0.69
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s76_ch3",0.01
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s77_ch3",-1.2
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s78_ch3",-1.24
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s79_ch3",-1.29
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s7_ch3",-1.07
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s80_ch3",-0.19
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s81_ch3",0.53
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s82_ch3",0.33
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s83_ch3",0.66
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s84_ch3",-0.58
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s85_ch3",-0.01
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s86_ch3",-1.09
