"ident","fold"
"Luke - Various Opportunistic Recordings/2025-04-23/1_71/250424_1841","train"
"Luke - Various Opportunistic Recordings/2025-07-23/1_2/250731_1506","train"
"Luke - Various Opportunistic Recordings/2025-04-22/1_90/250424_1823","train"
"Luke - Various Opportunistic Recordings/2025-07-07/1_62/250707_1036","train"
"Luke - Various Opportunistic Recordings/2025-08-12/48/250812_1219","train"
"Luke - Various Opportunistic Recordings/2025-04-22/54/250422_1636","train"
"Luke - Various Opportunistic Recordings/2025-07-03/1_37/250703_1635","train"
"Luke - Various Opportunistic Recordings/2025-08-08/49/250810_1419","train"
"Luke - Various Opportunistic Recordings/2025-07-15/1_16/250717_1756","train"
"Luke - Various Opportunistic Recordings/2025-07-23/1_151/250731_1528","train"
"Luke - Various Opportunistic Recordings/2025-08-12/1_90/250812_1157","train"
"Luke - Various Opportunistic Recordings/2025-04-22/1_51/250422_1636","train"
"Luke - Various Opportunistic Recordings/2025-08-05/1_108/250805_1224","train"
"Luke - Various Opportunistic Recordings/2025-08-12/50/250812_2015","train"
"Luke - Various Opportunistic Recordings/2025-08-08/1_95/250808_1237","train"
"Luke - Various Opportunistic Recordings/2025-04-23/1_108/250423_1446","train"
"Luke - Various Opportunistic Recordings/2025-07-09/51/250709_0958_01","train"
"Luke - Various Opportunistic Recordings/2025-07-23/1_48/250723_0815","train"
"Luke - Various Opportunistic Recordings/2025-04-23/1_98/250424_1826","train"
"Luke - Various Opportunistic Recordings/2025-07-03/1_82/250703_1610","train"
"Luke - Various Opportunistic Recordings/2025-07-15/1_21/250731_1511","train"
"Luke - Various Opportunistic Recordings/2025-08-08/1_66/250808_1255","train"
"Luke - Various Opportunistic Recordings/2025-07-03/1_105/250705_1714","train"
"Luke - Various Opportunistic Recordings/2025-08-08/1_95/250810_1419","train"
"Luke - Various Opportunistic Recordings/2025-08-21/1_148/250821_1338","train"
"Luke - Various Opportunistic Recordings/2025-08-21/1_62/250823_1520","train"
"Luke - Various Opportunistic Recordings/2025-08-21/1_72/250821_1315","train"
"Luke - Various Opportunistic Recordings/2025-04-22/1_44/250422_1641","train"
"Luke - Various Opportunistic Recordings/2025-07-09/53/250709_0945","train"
"Luke - Various Opportunistic Recordings/2025-07-03/19/250703_1552","train"
"Luke - Various Opportunistic Recordings/2025-07-15/1_101/250715_1640","train"
"Luke - Various Opportunistic Recordings/2025-07-23/1_19/250731_1524","train"
"Luke - Various Opportunistic Recordings/2025-08-05/1_7/250805_1221","train"
"Luke - Various Opportunistic Recordings/2025-08-08/1_91/250808_1246","train"
"Luke - Various Opportunistic Recordings/2025-04-23/1_40/250423_1440","train"
"Luke - Various Opportunistic Recordings/2025-07-07/1_90/250709_1212","train"
"Luke - Various Opportunistic Recordings/2025-07-07/9/250707_1155","train"
"Luke - Various Opportunistic Recordings/2025-08-12/1_34/250812_2019","train"
"Luke - Various Opportunistic Recordings/2025-08-21/1_73/250821_1322","train"
"Luke - Various Opportunistic Recordings/2025-07-09/1_20/250709_1005","train"
"Luke - Various Opportunistic Recordings/2025-07-09/1_48/250713_1253","train"
"Luke - Various Opportunistic Recordings/2025-07-09/29/250709_1011","train"
"Luke - Various Opportunistic Recordings/2025-07-23/1_67/250723_1045","train"
"Luke - Various Opportunistic Recordings/2025-08-12/1_16/250814_1421","train"
"Luke - Various Opportunistic Recordings/2025-06-23/1_82/250623_0912","train"
"Luke - Various Opportunistic Recordings/2025-07-07/50/250707_1151","train"
"Luke - Various Opportunistic Recordings/2025-08-01/49/250801_1303","train"
"Luke - Various Opportunistic Recordings/2025-08-12/1_75/250812_2017","train"
"Luke - Various Opportunistic Recordings/2025-04-22/1_90/250423_1342","train"
"Luke - Various Opportunistic Recordings/2025-06-23/1_37/250625_1027","train"
"Luke - Various Opportunistic Recordings/2025-07-23/1_138/250723_1048","train"
"Luke - Various Opportunistic Recordings/2025-08-05/9/250805_1222","train"
"Luke - Various Opportunistic Recordings/2025-08-21/1_148/250823_1520","train"
"Luke - Various Opportunistic Recordings/2025-07-03/1_18/250703_1552","train"
"Luke - Various Opportunistic Recordings/2025-07-23/29/250731_1522","train"
"Luke - Various Opportunistic Recordings/2025-08-12/1_101/250812_1146","train"
"Luke - Various Opportunistic Recordings/2025-08-12/1_32/250812_2019","train"
"Luke - Various Opportunistic Recordings/2025-08-21/1_2/250821_1315","train"
"Luke - Various Opportunistic Recordings/2025-08-21/40/250823_1457","train"
"Luke - Various Opportunistic Recordings/2025-06-20/moth_1/20250622_020500","train"
"Luke - Various Opportunistic Recordings/2025-06-20/moth_2/20250629_023000","train"
"Luke - Various Opportunistic Recordings/2025-06-20/moth_2/20250629_015000","train"
"Luke - Various Opportunistic Recordings/2025-08-05/8/250807_1408","train"
"Luke - Various Opportunistic Recordings/2025-08-08/1_80/250808_1237","train"
"Luke - Various Opportunistic Recordings/2025-08-21/40/250821_1315","train"
"Luke - Various Opportunistic Recordings/2025-09-26/1_153/250926_1952","train"
"Luke - Various Opportunistic Recordings/2025-08-12/51/250812_1158","train"
"Luke - Various Opportunistic Recordings/2025-08-21/1_32/250821_1338","train"
