"label","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/2","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/3","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/4","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/5","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/6","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/7","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/8","Chia - OSPT/2022/2022-07-26/10","Chia - OSPT/2022/2022-07-26/14","Chia - OSPT/2022/2022-07-26/15","Chia - OSPT/2022/2022-07-26/17","Chia - OSPT/2022/2022-07-26/18","Chia - OSPT/2022/2022-07-26/23","Chia - OSPT/2022/2022-07-26/25","Chia - OSPT/2022/2022-07-26/29","Chia - OSPT/2022/2022-08-02/11","Chia - OSPT/2022/2022-08-02/13","Chia - OSPT/2022/2022-08-02/20","Chia - OSPT/2022/2022-08-02/22","Chia - OSPT/2022/2022-08-02/23","Chia - OSPT/2022/2022-08-02/29","Chia - OSPT/2022/2022-08-02/32","Chia_Lin - Soybean on-farm spray audios/2023-07-25 Combs Sabine-Bigelow/14","Chia_Lin - Soybean on-farm spray audios/2023-07-25 Combs Sabine-Bigelow/23","Chia_Lin - Soybean on-farm spray audios/2023-07-30 FSR/29","Chia_Lin - Soybean on-farm spray audios/2023-07-30 FSR/3","JamesU - MustardBumbler/1_29","Karlan Forrester - Soybean Attractiveness/A11/4","Karlan Forrester - Soybean Attractiveness/C9-16/4","Karlan Forrester - Soybean Attractiveness/EBN/4","Karlan Forrester - Soybean Attractiveness/L6-8/4","Lily - Fit+Fast/2023_R3_Marysville/53","Lily Adam - One Hive/recorders/willard/2024-08-07/1_11","Lily Adam - One Hive/recorders/wooster/2024-07-26/1_143","Luke - Diel Drivers/2026-04-08/1_150","Luke - Diel Drivers/2026-05-06/1_95","Luke - Various Opportunistic Recordings/2025-06-23/1_23","Luke - Various Opportunistic Recordings/2025-07-03/1_37","Luke - Various Opportunistic Recordings/2025-08-05/31","Luke - Various Opportunistic Recordings/2025-08-12/1_114","Luke - Various Opportunistic Recordings/2025-08-27/48","Luke - Various Opportunistic Recordings/2026-07-27/1_25","Luke - Various Opportunistic Recordings/2026-07-27/1_99"
"animal_frog_tree",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"animal_squirrel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0
"human",45,6,0,322,5,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,11,19,13,1,9,0,5,295,19,0,0,0,1,0,0
"ins_buzz_RECLASSIFY",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ins_buzz_high",12,5,23,28,5,3,3,5,0,0,0,2,4,1,3,0,18,0,0,0,5,0,0,3,0,0,0,8,16,38,13,2,0,87,12,0,5,0,3,12,35,0,0,0
"ins_buzz_low",30,17,26,69,10,33,40,10,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,7,34,4,4,0,47,266,183,48,2,48,14,0,245,1,5,0,51,0,0,0
"ins_buzz_medium",68,40,129,71,56,29,47,12,3,0,48,38,2,67,4,1,14,5,0,2,24,15,10,235,40,48,51,2376,94,138,59,119,1146,56,92,84,34,99,235,345,130,274,0,174
"ins_buzz_pollination",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,172,141,0,0,0
"ins_buzz_rasp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ins_trill",0,0,0,54,0,0,0,6,0,0,0,0,0,0,0,0,49,167,0,0,0,0,41,410,195,0,0,5681,624,0,335,27,3348,2122,693,7,0,0,0,600,3900,926,51,942
"mech_ac",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413,0,0,0,0,0,0,0
"mech_auto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mech_auto_RECLASSIFY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mech_auto_background",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,0,0,0,0,0,1500,0,0,0,300,0,0,0,0,0,0
"mech_auto_car",0,3,0,0,3,11,0,0,76,68,76,43,134,0,110,148,97,146,66,28,14,116,48,34,8,18,11,124,15,53,43,0,233,16,58,850,768,0,14,0,302,126,0,128
"mech_auto_hum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mech_auto_motorcycle",6,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,7,0,0,0,0,0,47,24,6,0,0,147,0,34,45,3,19,0,0,0,0,0,0,0,38,0,0,0
"mech_auto_truck",0,3,6,0,0,0,0,0,160,21,0,95,121,200,227,0,132,75,24,33,0,39,77,58,0,70,0,349,55,232,127,31,92,935,809,163,240,0,9,0,95,9,0,0
"mech_auto_unknown",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"mech_background",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0
"mech_beep",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,158,0,0,0,189,0,0
"mech_chainsaw",0,0,0,0,0,0,0,0,0,151,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"mech_combine",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,25,1201,38,131,0,0,0,0,0,0,0,0,0,0,0,0
"mech_drone",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mech_hum_RECLASSIFY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mech_hum_traffic",3,0,0,0,0,0,3,0,0,5,0,0,0,2,33,0,0,0,0,0,0,0,0,112,51,84,25,708,29,10,10,0,0,0,0,0,19,0,0,0,1447,25,0,0
"mech_lawnmower",0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,760,0,0,0,0,0,0,0
"mech_plane_helicopter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,65,0,0,0,0,0
"mech_plane_jet",3,9,16,3,0,0,0,3,0,0,0,0,0,0,28,0,0,0,0,0,0,0,30,226,16,162,45,418,96,91,375,3,761,9,0,302,918,227,667,84,520,164,0,177
"mech_plane_prop",233,3,0,187,12,225,186,3,0,0,0,18,0,0,0,0,155,0,0,0,0,0,0,216,72,425,212,535,403,405,498,15,260,49,184,58,607,12,97,49,0,85,0,122
"mech_siren",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"mech_train",4,18,15,15,8,13,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,18,0,28,0,0,0,0,0,0,0,0
"mech_weedwhacker",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
"static",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0
