"experiment","deployment","fold","ident","recorder"
"Chia - OSPT","2022/2022-08-02","train","Chia - OSPT/2022/2022-08-02/20/220802_1056","20"
"Chia - OSPT","2022/2022-08-02","train","Chia - OSPT/2022/2022-08-02/22/220804_1241","22"
"Chia - OSPT","2022/2022-08-02","train","Chia - OSPT/2022/2022-08-02/23/220802_1047","23"
"Chia - OSPT","2022/2022-08-02","train","Chia - OSPT/2022/2022-08-02/29/220802_1102","29"
"Chia - OSPT","2022/2022-08-02","train","Chia - OSPT/2022/2022-08-02/29/220804_1244","29"
"Chia - OSPT","2022/2022-08-02","train","Chia - OSPT/2022/2022-08-02/32/220804_1227","32"
"Chia_Lin - Soybean on-farm spray audios","2023-07-25 Combs Sabine-Bigelow","validate","Chia_Lin - Soybean on-farm spray audios/2023-07-25 Combs Sabine-Bigelow/14/230725_1202","14"
"Chia_Lin - Soybean on-farm spray audios","2023-07-25 Combs Sabine-Bigelow","validate","Chia_Lin - Soybean on-farm spray audios/2023-07-25 Combs Sabine-Bigelow/14/230727_1344","14"
"Chia_Lin - Soybean on-farm spray audios","2023-07-25 Combs Sabine-Bigelow","validate","Chia_Lin - Soybean on-farm spray audios/2023-07-25 Combs Sabine-Bigelow/14/230730_1621","14"
"Chia_Lin - Soybean on-farm spray audios","2023-07-25 Combs Sabine-Bigelow","validate","Chia_Lin - Soybean on-farm spray audios/2023-07-25 Combs Sabine-Bigelow/14/230801_1803","14"
"Chia_Lin - Soybean on-farm spray audios","2023-07-25 Combs Sabine-Bigelow","train","Chia_Lin - Soybean on-farm spray audios/2023-07-25 Combs Sabine-Bigelow/23/230725_1159","23"
"Chia_Lin - Soybean on-farm spray audios","2023-07-25 Combs Sabine-Bigelow","validate","Chia_Lin - Soybean on-farm spray audios/2023-07-25 Combs Sabine-Bigelow/23/230727_1341","23"
"Chia_Lin - Soybean on-farm spray audios","2023-07-25 Combs Sabine-Bigelow","validate","Chia_Lin - Soybean on-farm spray audios/2023-07-25 Combs Sabine-Bigelow/23/230730_1624","23"
"Chia_Lin - Soybean on-farm spray audios","2023-07-25 Combs Sabine-Bigelow","validate","Chia_Lin - Soybean on-farm spray audios/2023-07-25 Combs Sabine-Bigelow/23/230801_1806","23"
"Chia_Lin - Soybean on-farm spray audios","2023-07-30 FSR","train","Chia_Lin - Soybean on-farm spray audios/2023-07-30 FSR/29/230730_1704","29"
"Chia_Lin - Soybean on-farm spray audios","2023-07-30 FSR","train","Chia_Lin - Soybean on-farm spray audios/2023-07-30 FSR/29/230801_1846","29"
"Chia_Lin - Soybean on-farm spray audios","2023-07-30 FSR","train","Chia_Lin - Soybean on-farm spray audios/2023-07-30 FSR/3/230730_1704","3"
"Chia_Lin - Soybean on-farm spray audios","2023-07-30 FSR","train","Chia_Lin - Soybean on-farm spray audios/2023-07-30 FSR/3/230801_1847","3"
"Karlan Forrester - Soybean Attractiveness","A11","validate","Karlan Forrester - Soybean Attractiveness/A11/4/210721_0949","4"
"Karlan Forrester - Soybean Attractiveness","A11","validate","Karlan Forrester - Soybean Attractiveness/A11/4/210723_1131","4"
"Karlan Forrester - Soybean Attractiveness","A11","validate","Karlan Forrester - Soybean Attractiveness/A11/4/210726_1007","4"
"Karlan Forrester - Soybean Attractiveness","A11","validate","Karlan Forrester - Soybean Attractiveness/A11/4/210728_1150","4"
"Karlan Forrester - Soybean Attractiveness","A11","validate","Karlan Forrester - Soybean Attractiveness/A11/4/210805_0819","4"
"Karlan Forrester - Soybean Attractiveness","A11","validate","Karlan Forrester - Soybean Attractiveness/A11/4/210807_1001","4"
"Karlan Forrester - Soybean Attractiveness","C9-16","train","Karlan Forrester - Soybean Attractiveness/C9-16/4/210721_0910","4"
"Karlan Forrester - Soybean Attractiveness","C9-16","train","Karlan Forrester - Soybean Attractiveness/C9-16/4/210723_1052","4"
"Karlan Forrester - Soybean Attractiveness","C9-16","train","Karlan Forrester - Soybean Attractiveness/C9-16/4/210726_0933","4"
"Karlan Forrester - Soybean Attractiveness","C9-16","train","Karlan Forrester - Soybean Attractiveness/C9-16/4/210728_1115","4"
"Karlan Forrester - Soybean Attractiveness","C9-16","train","Karlan Forrester - Soybean Attractiveness/C9-16/4/210805_0743","4"
"Karlan Forrester - Soybean Attractiveness","C9-16","train","Karlan Forrester - Soybean Attractiveness/C9-16/4/210807_0925","4"
"Karlan Forrester - Soybean Attractiveness","EBN","train","Karlan Forrester - Soybean Attractiveness/EBN/4/210721_0930","4"
"Karlan Forrester - Soybean Attractiveness","EBN","train","Karlan Forrester - Soybean Attractiveness/EBN/4/210723_1112","4"
"Karlan Forrester - Soybean Attractiveness","EBN","train","Karlan Forrester - Soybean Attractiveness/EBN/4/210726_0950","4"
"Karlan Forrester - Soybean Attractiveness","EBN","train","Karlan Forrester - Soybean Attractiveness/EBN/4/210728_1132","4"
"Karlan Forrester - Soybean Attractiveness","EBN","train","Karlan Forrester - Soybean Attractiveness/EBN/4/210805_0800","4"
"Karlan Forrester - Soybean Attractiveness","L6-8","train","Karlan Forrester - Soybean Attractiveness/L6-8/4/210721_0855","4"
"Karlan Forrester - Soybean Attractiveness","L6-8","train","Karlan Forrester - Soybean Attractiveness/L6-8/4/210723_1038","4"
"Karlan Forrester - Soybean Attractiveness","L6-8","train","Karlan Forrester - Soybean Attractiveness/L6-8/4/210726_0918","4"
"Karlan Forrester - Soybean Attractiveness","L6-8","train","Karlan Forrester - Soybean Attractiveness/L6-8/4/210728_1100","4"
"Karlan Forrester - Soybean Attractiveness","L6-8","train","Karlan Forrester - Soybean Attractiveness/L6-8/4/210805_0726","4"
"Karlan Forrester - Soybean Attractiveness","L6-8","train","Karlan Forrester - Soybean Attractiveness/L6-8/4/210807_0908","4"
