"source","ident","fold","role"
"2025-06-24 InsectSound1000","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s23_ch0","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000","train"
"2025-06-24 InsectSound1000","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s24_ch0","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000","train"
"2025-06-24 InsectSound1000","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s25_ch0","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000","train"
"2025-06-24 InsectSound1000","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s26_ch0","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000","train"
"2025-06-24 InsectSound1000","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s27_ch0","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000","train"
"2025-06-24 InsectSound1000","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s28_ch0","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000","train"
"2025-06-24 InsectSound1000","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s29_ch0","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000","train"
"2025-06-24 InsectSound1000","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s3_ch0","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000","train"
"2025-06-24 InsectSound1000","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s30_ch0","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000","train"
"2025-06-24 InsectSound1000","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s31_ch0","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000","train"
"2025-06-24 InsectSound1000","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s32_ch0","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000","train"
"2025-06-24 InsectSound1000","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s33_ch0","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000","train"
"2025-06-24 InsectSound1000","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s34_ch0","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000","train"
"2025-06-24 InsectSound1000","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s35_ch0","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000","train"
"2025-06-24 InsectSound1000","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s36_ch0","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000","train"
"2025-06-24 InsectSound1000","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s37_ch0","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000","train"
"2025-06-24 InsectSound1000","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s38_ch0","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000","train"
"2025-06-24 InsectSound1000","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s39_ch0","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000","train"
"2025-06-24 InsectSound1000","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s4_ch0","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000","train"
"2025-06-24 InsectSound1000","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s40_ch0","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000","train"
"2025-06-24 InsectSound1000","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s41_ch0","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000","train"
"2025-06-24 InsectSound1000","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s42_ch0","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000","train"
"2025-06-24 InsectSound1000","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s43_ch0","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000","train"
"2025-06-24 InsectSound1000","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s44_ch0","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000","train"
