"fold","volume"
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023419-16-19/000012",2
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023419-16-19/000017",6
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023419-16-19/000020",2
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023419-16-19/000022",2
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023419-16-19/000023",4
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023419-16-19/000025",2
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023419-16-19/000026",4
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023419-16-19/000027",2
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023419-16-19/000033",2
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023419-16-19/000038",2
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023419-16-19/000043",4
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023419-16-19/000044",2
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023419-16-19/000053",2
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023419-16-19/000054",2
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023419-16-19/000055",4
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023419-16-19/000056",2
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023419-16-19/000057",4
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023419-16-19/000060",6
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023419-16-19/000061",4
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023419-16-19/000063",2
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023419-16-19/000065",6
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023419-16-19/000067",4
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023420-16-9/000004",2
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023420-16-9/000006",2
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023420-16-9/000007",2
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023420-16-9/000012",2
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023420-16-9/000014",2
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023420-16-9/000015",2
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023420-16-9/000017",2
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023420-16-9/000021",2
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023420-16-9/000028",2
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023420-16-9/000032",2
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023420-16-9/000035",2
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023420-16-9/000036",2
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023420-16-9/000037",2
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023420-16-9/000039",4
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023420-16-9/000040",2
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023420-16-9/000042",2
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023420-16-9/000045",4
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023420-16-9/000046",2
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023420-16-9/000047",4
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023420-16-9/000048",4
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023420-16-9/000050",2
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023420-16-9/000051",8
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023420-16-9/000052",2
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023420-16-9/000054",2
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023420-16-9/000055",2
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023420-16-9/000056",2
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023420-16-9/000057",2
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023420-16-9/000058",2
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023420-16-9/000059",2
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023420-16-9/000064",2
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023420-16-9/000065",4
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023420-16-9/000066",4
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023420-16-9/000068",2
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023424-16-23/000014",2
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023424-16-23/000062",2
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023424-16-23/000064",6
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023425-16-22/000005",2
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023425-16-22/000030",2
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023425-16-22/000031",2
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023425-16-22/000051",2
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023425-16-22/000052",4
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023425-16-22/000058",20
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023515-16-42/000001",2
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023515-16-42/000005",2
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023515-16-42/000032",3
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023515-16-42/000037",2
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023515-16-42/000044",2
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023515-16-42/000045",5
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023515-16-42/000047",3
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023612-16-19/000001",2
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023612-16-19/000003",3
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023612-16-19/000005",93
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023612-16-19/000007",2
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023612-16-19/000008",2
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023612-16-19/000010",2
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023612-16-19/000033",2
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023612-16-19/000066",2
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000001",2
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000003",10
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000008",1
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000009",4
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000011",2
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000012",2
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000064",2
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000065",2
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000066",4
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000067",3
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023614-16-27/000002",3
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023614-16-27/000003",3
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023614-16-27/000006",2
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023614-16-27/000007",8
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023614-16-27/000008",6
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023614-16-27/000013",3
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023614-16-27/000014",8
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023614-16-27/000067",2
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023615-16-27/000001",2
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023615-16-27/000008",7
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023615-16-27/000009",2
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023615-16-27/000010",2
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023615-16-27/000012",2
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023615-16-27/000013",2
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022421-16-34/000000",30
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022421-16-34/000001",2
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022421-16-34/000003",4
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022421-16-34/000004",2
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022421-16-34/000005",4
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022421-16-34/000009",2
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022421-16-34/000010",2
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022421-16-34/000011",2
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022421-16-34/000012",0
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022421-16-34/000013",4
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022421-16-34/000014",6
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022421-16-34/000015",4
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022421-16-34/000016",4
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022421-16-34/000022",2
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022421-16-34/000025",0
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022421-16-34/000028",2
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022421-16-34/000035",2
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022421-16-34/000037",2
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022421-16-34/000047",2
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022421-16-34/000048",2
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022421-16-34/000049",4
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022421-16-34/000052",0
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022421-16-34/000067",1
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022421-16-34/000068",2
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022421-8-56/000001",0
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022421-8-56/000002",2
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022425-18-24/000000",2
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022425-18-24/000009",2
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022425-18-24/000014",2
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022524-16-36/000002",2
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022524-16-36/000003",2
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022524-16-36/000004",4
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022524-16-36/000005",34
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022524-16-36/000006",4
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022524-16-36/000007",12
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022524-16-36/000008",6
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022524-16-36/000009",6
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022524-16-36/000010",6
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022524-16-36/000011",7
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022524-16-36/000012",4
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022524-16-36/000013",4
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022524-16-36/000014",2
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022524-16-36/000015",4
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022524-16-36/000016",8
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022524-16-36/000017",2
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022524-16-36/000018",2
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022524-16-36/000020",2
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022524-16-36/000021",2
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022524-16-36/000022",2
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022524-16-36/000023",2
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022524-16-36/000025",4
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022524-16-36/000026",0
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022524-16-36/000027",2
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022524-16-36/000028",4
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022524-16-36/000032",2
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022524-16-36/000033",8
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022524-16-36/000034",6
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022524-16-36/000035",8
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022524-16-36/000037",2
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022524-16-36/000039",4
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022524-16-36/000043",0
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022524-16-36/000044",4
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022524-16-36/000045",2
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022524-16-36/000055",2
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022524-16-36/000056",2
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022524-16-36/000057",2
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022524-16-36/000058",2
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022524-16-36/000059",2
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022524-16-36/000060",2
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022524-16-36/000061",8
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022524-16-36/000062",4
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022524-16-36/000067",4
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022530-16-6/000000",2
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022530-16-6/000004",2
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022530-16-6/000006",2
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022530-16-6/000007",2
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022530-16-6/000012",4
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022530-16-6/000013",8
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022530-16-6/000014",4
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022530-16-6/000015",4
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022530-16-6/000016",4
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022530-16-6/000017",6
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022530-16-6/000020",4
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022530-16-6/000023",2
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022530-16-6/000024",2
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022530-16-6/000025",2
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022530-16-6/000028",2
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022530-16-6/000041",4
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022530-16-6/000042",72
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022530-16-6/000043",2
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022530-16-6/000052",4
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022530-16-6/000056",2
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022530-16-6/000057",8
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022530-16-6/000058",4
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022530-16-6/000061",6
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022531-16-10/000000",2
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/2022531-16-10/000001",14
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/202261-15-3/000000",2
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/202261-15-3/000001",4
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/202261-15-3/000002",2
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/202261-15-3/000005",2
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/202261-15-3/000007",2
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/202261-15-3/000009",4
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/202261-15-3/000013",2
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/202261-15-3/000014",2
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/202261-15-3/000015",2
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/202261-15-3/000017",2
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/202261-15-3/000018",2
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/202261-15-3/000019",2
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/202261-15-3/000020",2
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/202261-15-3/000021",2
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/202261-15-3/000024",0
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/202261-15-3/000028",2
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/202261-15-3/000029",4
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/202261-15-3/000033",2
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/202261-15-3/000050",4
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/202261-15-3/000051",2
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/202261-15-3/000056",2
"Luke - External Data Sources/InsectSound1000/Halyomorpha_halys/202261-15-3/000058",2
"Luke - External Data Sources/InsectSound1000/Nezara_viridula/2022511-18-10/000018",2
"Luke - External Data Sources/InsectSound1000/Nezara_viridula/2022511-18-10/000023",8
"Luke - External Data Sources/InsectSound1000/Nezara_viridula/2022511-18-10/000024",2
"Luke - External Data Sources/InsectSound1000/Nezara_viridula/2022511-18-10/000025",4
"Luke - External Data Sources/InsectSound1000/Nezara_viridula/2022511-18-10/000032",3
"Luke - External Data Sources/InsectSound1000/Nezara_viridula/2022511-18-10/000034",2
"Luke - External Data Sources/InsectSound1000/Nezara_viridula/2022511-18-10/000036",4
"Luke - External Data Sources/InsectSound1000/Nezara_viridula/2022511-18-10/000048",2
"Luke - External Data Sources/InsectSound1000/Nezara_viridula/2022511-18-10/000050",8
"Luke - External Data Sources/InsectSound1000/Nezara_viridula/2022511-18-10/000051",2
"Luke - External Data Sources/InsectSound1000/Nezara_viridula/2022512-17-17/000000",4
"Luke - External Data Sources/InsectSound1000/Nezara_viridula/2022512-17-17/000002",2
"Luke - External Data Sources/InsectSound1000/Nezara_viridula/2022512-17-17/000013",2
"Luke - External Data Sources/InsectSound1000/Nezara_viridula/2022512-17-17/000015",2
"Luke - External Data Sources/InsectSound1000/Nezara_viridula/2022512-17-17/000018",2
"Luke - External Data Sources/InsectSound1000/Nezara_viridula/2022512-17-17/000028",2
"Luke - External Data Sources/InsectSound1000/Nezara_viridula/2022512-17-17/000031",2
"Luke - External Data Sources/InsectSound1000/Nezara_viridula/2022512-17-17/000039",2
"Luke - External Data Sources/InsectSound1000/Nezara_viridula/2022512-17-17/000040",2
"Luke - External Data Sources/InsectSound1000/Nezara_viridula/2022523-16-40/000004",2
"Luke - External Data Sources/InsectSound1000/Nezara_viridula/2022523-16-40/000005",2
"Luke - External Data Sources/InsectSound1000/Nezara_viridula/2022523-16-40/000010",23
"Luke - External Data Sources/InsectSound1000/Nezara_viridula/2022523-16-40/000019",2
"Luke - External Data Sources/InsectSound1000/Nezara_viridula/2022523-16-40/000026",2
"Luke - External Data Sources/InsectSound1000/Nezara_viridula/2022523-16-40/000032",2
"Luke - External Data Sources/InsectSound1000/Nezara_viridula/2022523-16-40/000066",14
"Luke - External Data Sources/InsectSound1000/Nezara_viridula/2022613-16-53/000025",2
"Luke - External Data Sources/InsectSound1000/Nezara_viridula/2022613-16-53/000055",2
"Luke - External Data Sources/InsectSound1000/Nezara_viridula/2022613-16-53/000057",0
"Luke - External Data Sources/InsectSound1000/Nezara_viridula/2022614-15-44/000033",2
"Luke - External Data Sources/InsectSound1000/Nezara_viridula/202262-15-28/000008",2
"Luke - External Data Sources/InsectSound1000/Nezara_viridula/202262-15-28/000009",2
"Luke - External Data Sources/InsectSound1000/Nezara_viridula/202262-15-28/000015",2
"Luke - External Data Sources/InsectSound1000/Palomena_prasina/2022811-16-28/000016",3
"Luke - External Data Sources/InsectSound1000/Palomena_prasina/2022811-16-28/000060",2
"Luke - External Data Sources/InsectSound1000/Palomena_prasina/2022815-16-45/000043",0
"Luke - External Data Sources/InsectSound1000/Rhaphigaster_nebulos/2023104-16-43/000059",1
"Luke - External Data Sources/InsectSound1000/Rhaphigaster_nebulos/2023914-16-48/000002",4
"Luke - External Data Sources/InsectSound1000/Rhaphigaster_nebulos/2023918-17-42/000027",2
"Luke - External Data Sources/InsectSound1000/Rhaphigaster_nebulos/2023919-16-30/000039",3
"Luke - Various Opportunistic Recordings/2025-06-23/1_23",313
"Luke - Various Opportunistic Recordings/2025-07-03/1_37",4552
"Luke - Various Opportunistic Recordings/2025-08-05/31",1574
"Luke - Various Opportunistic Recordings/2025-08-12/1_114",7621
"Luke - Various Opportunistic Recordings/2025-08-27/48",1965
