"source","ident","start","end","label"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",15600.25,15601.25,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",15605.85,15606.85,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",15623.55,15624.58,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",15691.69,15692.69,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",15707.82,15708.82,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",15723.4,15724.4,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",15738.06,15739.06,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",15768.48,15769.48,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",15867.24,15868.24,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",15893.24,15894.24,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",16274.01,16275.01,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",16354.16,16357.16,"ambient_background"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",16436.51,16437.51,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",16800.83,16801.83,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",16802.59,16803.59,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",16839.69,16840.69,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",16904.7,16905.7,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",16910.2,16911.2,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",16920.3,16921.3,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",16996.97,16997.97,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",17062.6,17063.6,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",17099.24,17100.24,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",17208.01,17209.01,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",17220,17221,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",17227.95,17228.95,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",17238.38,17239.38,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",17270.84,17271.84,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",17272.35,17273.35,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",17285.6,17286.6,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",17418.64,17419.64,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",17516.09,17517.09,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",17522.22,17523.22,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",17552.17,17553.17,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",17621.8,17622.8,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",17663.13,17664.13,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",17706.94,17707.94,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",17892.75,17893.75,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",17899.96,17902.96,"ambient_background"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",17999.6,18000.6,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",18051.1,18052.1,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",18058.33,18059.33,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",18060.62,18061.62,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",18064.2,18065.2,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",18091.31,18092.31,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",18132.78,18133.78,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",18147.64,18148.64,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",18187,18188,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",18204.8,18205.8,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",18233.85,18234.85,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",18362.51,18363.51,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",18410.33,18411.33,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",18412.4,18413.4,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",18424.14,18425.14,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",18452.59,18453.59,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",18597.29,18598.29,"ambient_background"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",18695.26,18696.26,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",19365.18,19366.18,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",20436.95,20439.95,"ambient_background"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",20701.72,20702.72,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",20733.39,20734.39,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",20901.53,20902.53,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",20921.92,20922.92,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",21213.08,21214.08,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",21334.32,21335.32,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",21510.91,21511.91,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",21806.96,21809.96,"ambient_background"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",22104.8,22105.8,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",22444.48,22447.48,"ambient_background"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",22786.19,22787.19,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",23016.04,23019.04,"ambient_background"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",23248.12,23249.12,"ins_buzz_bee"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",23400,23403,"mech_auto_bike"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",23553.76,23554.76,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",23653.76,23656.76,"ambient_background"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",23755.84,23756.84,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",24043.16,24046.16,"ambient_background"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",24332.27,24333.27,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",24439.01,24442.01,"ambient_background"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",24548.01,24549.01,"ins_buzz_bee"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",24743.08,24744.08,"mech_plane_prop"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",25501.37,25502.37,"mech_train"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",25687.64,25690.64,"ambient_background"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",25876.25,25877.25,"ins_buzz_bee"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",26287.72,26290.72,"ambient_background"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",26701.26,26702.26,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",27633,27634,"ins_buzz_bee"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",27645.24,27646.24,"ins_buzz_bee"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",27816.79,27819.79,"ambient_background"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",28934.01,28935.01,"ins_buzz_bee"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",29265.27,29268.27,"ambient_background"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",33174.77,33177.77,"ambient_background"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",35677.09,35678.24,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",35680.7,35681.76,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",35684.57,35685.57,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",35686.62,35687.74,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",35688.75,35689.75,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",35690.6,35691.6,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",35692.38,35693.41,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",35694.85,35696.38,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",35698.97,35699.97,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",35700.67,35701.67,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",35702.03,35703.03,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",35703.12,35704.12,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",35705.1,35706.1,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",35708.45,35709.44,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",35710.86,35711.86,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",35711.98,35712.98,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",35714.03,35715.03,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",35715.79,35716.79,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",35717.76,35718.76,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",35719.69,35720.69,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",35721.13,35722.13,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",35724.61,35725.89,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",35729.15,35730.18,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",35733.41,35734.4,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",35735.42,35736.45,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",35738.67,35739.67,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",35743.77,35744.77,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",35752.45,35753.98,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",35754.67,35755.67,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",35756.13,35757.12,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",35761.96,35762.96,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",35771.6,35772.6,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",35774.82,35775.9,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",35782.88,35783.88,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",35787.56,35788.56,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",35791.48,35792.48,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",35807.21,35808.21,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",35813.31,35814.34,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",35824.96,35825.96,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",35838.43,35839.43,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",35840,35841,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",35860.45,35862.08,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",35865.24,35866.24,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",35866.81,35867.81,"ambient_scraping"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01",35871.52,35872.51,"ambient_scraping"
