"source","ident","fold"
"2025-06-04 original annotations","Chia_Lin - Soybean on-farm spray audios/2023-07-30 FSR/3/230730_1704","train"
"2025-06-04 original annotations","Chia_Lin - Soybean on-farm spray audios/2023-07-30 FSR/3/230801_1847","train"
"2025-06-04 original annotations","Karlan Forrester - Soybean Attractiveness/A11/4/210721_0949","validate"
"2025-06-04 original annotations","Karlan Forrester - Soybean Attractiveness/A11/4/210723_1131","validate"
"2025-06-04 original annotations","Karlan Forrester - Soybean Attractiveness/A11/4/210726_1007","validate"
"2025-06-04 original annotations","Karlan Forrester - Soybean Attractiveness/A11/4/210728_1150","validate"
"2025-06-04 original annotations","Karlan Forrester - Soybean Attractiveness/A11/4/210805_0819","validate"
"2025-06-04 original annotations","Karlan Forrester - Soybean Attractiveness/A11/4/210807_1001","validate"
"2025-06-04 original annotations","Karlan Forrester - Soybean Attractiveness/C9-16/4/210721_0910","train"
"2025-06-04 original annotations","Karlan Forrester - Soybean Attractiveness/C9-16/4/210723_1052","train"
"2025-06-04 original annotations","Karlan Forrester - Soybean Attractiveness/C9-16/4/210726_0933","train"
"2025-06-04 original annotations","Karlan Forrester - Soybean Attractiveness/C9-16/4/210728_1115","train"
"2025-06-04 original annotations","Karlan Forrester - Soybean Attractiveness/C9-16/4/210805_0743","train"
"2025-06-04 original annotations","Karlan Forrester - Soybean Attractiveness/C9-16/4/210807_0925","train"
"2025-06-04 original annotations","Karlan Forrester - Soybean Attractiveness/EBN/4/210721_0930","train"
"2025-06-04 original annotations","Karlan Forrester - Soybean Attractiveness/EBN/4/210723_1112","train"
"2025-06-04 original annotations","Karlan Forrester - Soybean Attractiveness/EBN/4/210726_0950","train"
"2025-06-04 original annotations","Karlan Forrester - Soybean Attractiveness/EBN/4/210728_1132","train"
"2025-06-04 original annotations","Karlan Forrester - Soybean Attractiveness/EBN/4/210805_0800","train"
"2025-06-04 original annotations","Karlan Forrester - Soybean Attractiveness/L6-8/4/210721_0855","train"
"2025-06-04 original annotations","Karlan Forrester - Soybean Attractiveness/L6-8/4/210723_1038","train"
"2025-06-04 original annotations","Karlan Forrester - Soybean Attractiveness/L6-8/4/210726_0918","train"
"2025-06-04 original annotations","Karlan Forrester - Soybean Attractiveness/L6-8/4/210728_1100","train"
"2025-06-04 original annotations","Karlan Forrester - Soybean Attractiveness/L6-8/4/210805_0726","train"
"2025-06-04 original annotations","Karlan Forrester - Soybean Attractiveness/L6-8/4/210807_0908","train"
"2025-06-06 even sample","Lily - Fit+Fast/2023_R3_ClintonCounty/12/230801_1307","train"
"2025-06-07 night detections","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/8/220713_0953","train"
"2025-06-07 night detections","Chia - Bee Audio 2022 Original/7-19-22_WestManchester/10/220721_1123","train"
"2025-06-07 night detections","Chia - Bee Audio 2022 Original/7-19-22_WestManchester/16/220721_1135","train"
"2025-06-07 night detections","Chia - Bee Audio 2022 Original/7-19-22_Wilmington/5/220721_1339","train"
"2025-06-07 night detections","Chia - Bee Audio 2022 Original/7-19-22_Wilmington/7/220721_1341","train"
"2025-06-07 night detections","Chia - Bee Audio 2022 Original/8-18-2022_Wilmington/5/220818_1114","train"
"2025-06-07 night detections","Chia - Bee Audio 2022 Original/8-18-2022_Wilmington/6/220818_1113","train"
"2025-06-07 night detections","Chia - Bee Audio 2022 Original/8-18-2022_Wilmington/8/220822_1442","train"
"2025-06-07 night detections","Chia - Bee Audio 2022 Original/8-3-22_SouthCharleston/1/220805_1044","train"
"2025-06-07 night detections","Chia - Bee Audio 2022 Original/8-3-22_SouthCharleston/4/220803_0906","train"
"2025-06-07 night detections","Chia - Bee Audio 2022 Original/8-8-22_Marysville/2/220808_1342","train"
"2025-06-07 night detections","Chia - Bee Audio 2022 Original/8-8-22_Marysville/8/220810_1529","train"
"2025-06-07 night detections","Chia_Lin - Soybean on-farm spray audios/2023-07-25 Combs Sabine-Bigelow/23/230725_1159","train"
"2025-06-07 night detections","Chia_Lin - Soybean on-farm spray audios/2023-07-30 FSR/29/230730_1704","train"
"2025-06-07 night detections","Chia_Lin - Soybean on-farm spray audios/2023-07-30 FSR/3/230730_1704","train"
"2025-06-07 night detections","Karlan Forrester - Soybean Attractiveness/A11/1/210723_1133","train"
"2025-06-07 night detections","Karlan Forrester - Soybean Attractiveness/A11/2/210723_1133","train"
"2025-06-07 night detections","Karlan Forrester - Soybean Attractiveness/C9-16/1/210805_0739","train"
"2025-06-07 night detections","Karlan Forrester - Soybean Attractiveness/C9-16/4/210823_1908","train"
"2025-06-07 night detections","Karlan Forrester - Soybean Attractiveness/EBN/1/210726_0953","train"
"2025-06-07 night detections","Karlan Forrester - Soybean Attractiveness/L6-8/1/210723_1039","train"
"2025-06-07 night detections","Karlan Forrester - Soybean Attractiveness/L6-8/2/210723_1038","train"
"2025-06-11 Lilian Dicentra","Lilian Martin - Dicentra/BTW/1_103/250415_1209","train"
"2025-06-11 Lilian Dicentra","Lilian Martin - Dicentra/BTW/52/250415_1210","train"
"2025-06-11 Lilian Dicentra","Lilian Martin - Dicentra/SH/1_144/250415_1124","train"
"2025-06-11 Lilian Dicentra","Lilian Martin - Dicentra/SH/1_87/250415_1130","train"
"2025-06-24 InsectSound1000","InsectSound1000/Bombus_terrestris/2023510-16-19/000034/2023510-16-19_Bombus_terrestris_000034_s13_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Bombus_terrestris/2023510-16-19/000034/2023510-16-19_Bombus_terrestris_000034_s85_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Bombus_terrestris/2023510-16-19/000034/2023510-16-19_Bombus_terrestris_000034_s95_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s10_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s11_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s12_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s13_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s14_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s15_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s16_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s17_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s18_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s19_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s1_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s20_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s21_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s22_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s23_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s24_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s25_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s26_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s27_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s28_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s29_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s2_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s30_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s31_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s32_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s33_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s34_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s35_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s36_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s37_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s38_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s39_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s3_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s40_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s41_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s42_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s43_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s44_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s45_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s46_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s47_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s48_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s49_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s4_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s50_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s51_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s52_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s53_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s54_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023419-16-19/000060/2023419-16-19_Coccinella_septempunctata_000060_s88_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023420-16-9/000045/2023420-16-9_Coccinella_septempunctata_000045_s41_ch1","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023420-16-9/000017/2023420-16-9_Coccinella_septempunctata_000017_s17_ch1","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023420-16-9/000006/2023420-16-9_Coccinella_septempunctata_000006_s14_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023420-16-9/000040/2023420-16-9_Coccinella_septempunctata_000040_s12_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023419-16-19/000022/2023419-16-19_Coccinella_septempunctata_000022_s94_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023420-16-9/000057/2023420-16-9_Coccinella_septempunctata_000057_s15_ch3","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023425-16-22/000051/2023425-16-22_Coccinella_septempunctata_000051_s15_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023419-16-19/000027/2023419-16-19_Coccinella_septempunctata_000027_s17_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023419-16-19/000043/2023419-16-19_Coccinella_septempunctata_000043_s16_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023419-16-19/000055/2023419-16-19_Coccinella_septempunctata_000055_s8_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023419-16-19/000067/2023419-16-19_Coccinella_septempunctata_000067_s79_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023424-16-23/000062/2023424-16-23_Coccinella_septempunctata_000062_s28_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023420-16-9/000056/2023420-16-9_Coccinella_septempunctata_000056_s61_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023420-16-9/000037/2023420-16-9_Coccinella_septempunctata_000037_s100_ch1","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023419-16-19/000060/2023419-16-19_Coccinella_septempunctata_000060_s92_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023419-16-19/000061/2023419-16-19_Coccinella_septempunctata_000061_s63_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023420-16-9/000042/2023420-16-9_Coccinella_septempunctata_000042_s88_ch1","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023419-16-19/000053/2023419-16-19_Coccinella_septempunctata_000053_s28_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023420-16-9/000004/2023420-16-9_Coccinella_septempunctata_000004_s20_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023419-16-19/000017/2023419-16-19_Coccinella_septempunctata_000017_s123_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023424-16-23/000014/2023424-16-23_Coccinella_septempunctata_000014_s3_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023420-16-9/000068/2023420-16-9_Coccinella_septempunctata_000068_s56_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023419-16-19/000023/2023419-16-19_Coccinella_septempunctata_000023_s51_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023419-16-19/000012/2023419-16-19_Coccinella_septempunctata_000012_s99_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023419-16-19/000026/2023419-16-19_Coccinella_septempunctata_000026_s55_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023425-16-22/000052/2023425-16-22_Coccinella_septempunctata_000052_s6_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023425-16-22/000031/2023425-16-22_Coccinella_septempunctata_000031_s26_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023420-16-9/000007/2023420-16-9_Coccinella_septempunctata_000007_s59_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023420-16-9/000058/2023420-16-9_Coccinella_septempunctata_000058_s113_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023420-16-9/000059/2023420-16-9_Coccinella_septempunctata_000059_s35_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023420-16-9/000066/2023420-16-9_Coccinella_septempunctata_000066_s62_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023420-16-9/000051/2023420-16-9_Coccinella_septempunctata_000051_s98_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023419-16-19/000065/2023419-16-19_Coccinella_septempunctata_000065_s117_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023420-16-9/000032/2023420-16-9_Coccinella_septempunctata_000032_s58_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023419-16-19/000043/2023419-16-19_Coccinella_septempunctata_000043_s12_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023420-16-9/000021/2023420-16-9_Coccinella_septempunctata_000021_s54_ch2","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023425-16-22/000058/2023425-16-22_Coccinella_septempunctata_000058_s3_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023420-16-9/000014/2023420-16-9_Coccinella_septempunctata_000014_s16_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023419-16-19/000060/2023419-16-19_Coccinella_septempunctata_000060_s68_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023419-16-19/000057/2023419-16-19_Coccinella_septempunctata_000057_s51_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023420-16-9/000028/2023420-16-9_Coccinella_septempunctata_000028_s11_ch1","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023425-16-22/000030/2023425-16-22_Coccinella_septempunctata_000030_s12_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023418-15-24/000008/2023418-15-24_Coccinella_septempunctata_000008_s2_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023419-16-19/000023/2023419-16-19_Coccinella_septempunctata_000023_s73_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023420-16-9/000065/2023420-16-9_Coccinella_septempunctata_000065_s70_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023420-16-9/000035/2023420-16-9_Coccinella_septempunctata_000035_s22_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023419-16-19/000063/2023419-16-19_Coccinella_septempunctata_000063_s93_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023419-16-19/000026/2023419-16-19_Coccinella_septempunctata_000026_s56_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023419-16-19/000057/2023419-16-19_Coccinella_septempunctata_000057_s90_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023419-16-19/000056/2023419-16-19_Coccinella_septempunctata_000056_s43_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023420-16-9/000039/2023420-16-9_Coccinella_septempunctata_000039_s48_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023420-16-9/000039/2023420-16-9_Coccinella_septempunctata_000039_s38_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023420-16-9/000051/2023420-16-9_Coccinella_septempunctata_000051_s100_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023419-16-19/000038/2023419-16-19_Coccinella_septempunctata_000038_s63_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023419-16-19/000067/2023419-16-19_Coccinella_septempunctata_000067_s105_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023419-16-19/000054/2023419-16-19_Coccinella_septempunctata_000054_s67_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023419-16-19/000055/2023419-16-19_Coccinella_septempunctata_000055_s150_ch0","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023420-16-9/000050/2023420-16-9_Coccinella_septempunctata_000050_s33_ch3","train"
"2025-06-24 InsectSound1000","InsectSound1000/Coccinella_septempunctata/2023419-16-19/000061/2023419-16-19_Coccinella_septempunctata_000061_s5_ch0","train"
